Instrução,PPL,BLEU,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Faithfulness,Answer Relevance,Plan Adherence,Gerado,Referência
Quais temas exploram a neurociência cognitiva e a ...,3.41,10.04,0.364,0.226,0.364,0.625,0.521,0.5,"O livro explora a neurociência cognitiva e a inteligência artificial em relaço às emoçes emocionais, emoçes emocionais, emoçes emocionais.","O livro explora a interseção da neurociência cognitiva, a psicologia, a filosofia e a IA, focando no conceito humano, a descoberta científica e o entendimento da mente."
Quais são alguns processos e funções intelectuais ...,3.72,2.45,0.133,0.047,0.089,0.429,0.33,0.5,"Processos e funçes intelectuais envolvidos na cogniço so aprendizagem, aprendizagem visual, aprendizagem auditoria, aprendizagem emocional, aprendizagem emocional, aprendizagem emocional.","A cognição envolve atenção, memória, linguagem, imaginação, julgamento,
avalição, resolução de problemas, planejamento e tomada de decisão."
Quais são os processos pelo qual os sinais sensori...,4.21,5.34,0.185,0.077,0.148,0.667,0.548,0.5,"Os sinais sensoriais so transformados e utilizados no cérebro pelo processo de aprendizagem, aprendizagem visual, aprendizagem auditoria, aprendizagem motor, aprendizagem auditoria, aprendizagem motor, aprendizagem motor.","Os sinais sensoriais são capturados, transmitidos para regiões do córtex, comunicados por conexões internas e combinados em áreas associativas para uma percepção integrada."
Qual é a função do sono NREM no desempenho cogniti...,4.11,2.55,0.303,0.129,0.242,0.667,0.533,0.5,"Sono NREM ajuda na desempenho cognitivo, ajudando a desenvolvimento emocional.","O sono NREM, particularmente o estágio de ondas lentas (SWS), é crucial para a consolidação da memória, melhorando o desempenho cognitivo."
Qual é o impacto da privação de sono na função cer...,4.02,1.53,0.341,0.154,0.293,0.167,0.133,0.5,O privaço de sono impair a funço cognitiva.,"A privação de sono pode levar a uma redução na consolidação das conexões neuronais, afetando atenção, tomada de decisão, plasticidade sináptica e memória."
Quais são os efeitos em longo prazo da privação do...,3.08,1.67,0.227,0.0,0.182,0.167,0.139,0.5,Os efeitos so a diminuiço da capacidade de aprendizagem e a diminuiço da capacidade de aprendizagem.,"A privação do sono em longo prazo é associada a doenças neurodegenerativas, como as demências, e afeta o desempenho intelectual, acadêmico e trabalho."
Qual é o papel do sono em a manutenção da saúde co...,3.46,8.35,0.468,0.311,0.468,0.375,0.312,0.5,O sono ajuda na manutenço da sade cognitiva e na eliminaço de substâncias.,"O sono ajuda na manutenção de uma função cognitiva saudável, consolidando memórias e permitindo a eliminação de beta-amiloide, reduzindo o risco de doenças neurodegenerativas."
Quais são os componentes da alma humana conforme d...,2.74,1.53,0.146,0.0,0.146,0.429,0.381,0.5,"Os componentes da alma humana so o cérebro, o córtex córtex, o córtex córtex, o córtex córtex, o córtex córtex, o córtex córtex.","Cognição, Emoção e Motivação."
Quais regiões do cérebro estão relacionadas a proc...,2.89,2.22,0.082,0.0,0.082,0.0,0.0,0.5,"O córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal.","Processos cognitivos estão ligados às regiões corticais, emocionais aos subcorticais, como a amígdala e o hipocampo."
Quais são as consequências das emoções fortes na a...,2.8,3.41,0.298,0.178,0.298,0.667,0.606,0.5,Os emoçes fortes alteram a atividade cerebral relacionada ao controle atencional.,"Emoções fortes modulam a atividade do córtex pré-frontal, influenciando o controle atencional. Emocões negativas aumentam a vigilância para ameaças, enquanto emoções positivas podem melhorar a atenção geral."
Quais circuitos neurais mediam a modulação da aten...,2.96,3.58,0.205,0.108,0.205,0.125,0.101,0.5,"A atenço seletiva é modulada pelo córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal.",A amígdala e o córtex cingulado anterior.
Quais áreas cerebrais interagem nos processos de e...,4.41,2.66,0.211,0.167,0.211,0.143,0.127,0.5,"O córtex pré-frontal interagem com o córtex pré-frontal, e o córtex pré-frontal interagem com o córtex pré-frontal.","Córtex pré-frontal ventromedial, sistema de recompensa, sistema límbico, amígdala."
Quais regiões do cérebro ajudam a fortalecer a rep...,3.18,4.84,0.293,0.205,0.293,0.333,0.284,0.5,O córtex pré-frontal e o córtex pré-central ajudam a fortalecer a representaço neural de estmulos emocionais.,"Córtex visual primário, córtex temporal inferior, hipocampo, córtex órbito-frontal, córtex pré-frontal, lobo parietal."
Quais são as consequências da falta de atividade f...,5.16,2.35,0.145,0.038,0.109,0.667,0.533,0.0,"Falta de atividade fsica em adultos e crianças nas Estados Unidos entra em afetaçes cognitivas, emoçes emocionais, emoçes emocionais, emoçes emocionais.","Os adultos 74% são sedentários, crianças se tornam mais sedentárias, levando a níveis mais baixos de aptidão, doenças crônicas mais cedo."
Quais mudanças no cérebro são relacionadas à práti...,5.49,2.14,0.173,0.02,0.135,0.5,0.375,0.5,"A prática regular de exerccios fsicos resulta em mudanças no cérebro, como a reduço do nmero de cérebros, a reduço do nmero de córtex pré-frontal, a reduço do nmero de córtex pré-frontal, a reduço do nmero de córtex pré-frontal, a reduço do nmero de córtex pré-frontal.","Melhoria na plasticidade sináptica, aumento do fluxo sanguíneo cerebral, novas sinapses, fortalecimento das redes neurais, otimização da transmissão de informações, melhorias na atenção e memória. Modulação da atividade de neurotransmissores como a dopamina."
Quais são os benefícios da atividade física regula...,4.38,1.5,0.225,0.0,0.175,0.429,0.33,0.5,"O atividade fsica regular ajuda a melhorar a sade cerebral, ajudando a melhorar a sade cognitiva, ajudando a melhorar a sade cognitiva, ajudando a melhorar a sade cognitiva, ajudando a melhorar a sade cognitiva.","Aumenta a disponibilidade de dopamina, melhora a motivação e o entusiasmo para aprender, estimula a liberação de BDNF para crescimento de neurônios, melhora a aprendizagem, o humor, a memória e a atenção, e reduz a inflamação sistêmica e cerebral."
Qual é o benefício da prática regular de atividade...,1.88,11.28,0.545,0.258,0.485,0.5,0.442,0.5,O prática regular de atividade fsica reduce o estresse crônico e inflamaço.,"O exercício regular pode reduzir o estresse crônico, inflamação e melhorar a função cognitiva."
Que fatores ambientais podem influenciar o neurode...,5.16,1.84,0.054,0.0,0.054,0.4,0.311,0.5,"Fatores ambientais incluem ambientes como ambiente ambiental, ambiente ambiental ambiental, ambiente ambiental ambiental, ambiente ambiental ambiental, ambiente ambiental ambiental, ambiente ambiental ambiental, ambiente ambiental ambiental, ambiente ambiental ambiental, ambiente ambiental ambiental.",Privação sensorial e enriquecimento ambiental.
Quais são os efeitos do enriquecimento ambiental n...,7.74,0.07,0.128,0.044,0.085,0.5,0.438,0.5,O enriquecimento ambiental ajuda na desenvolvimento cognitivo.,"Enriquecimento ambiental melhora plasticidade cerebral, capacidade cognitiva, forma de sinapses, formação de dendríticas, vascularização, neurogênese. Ele aumenta neurotrofinas (NGF, NT-3, BDNF) e altera a ativação de neurônios colinérgicos, serotonina, receptores adrenérgicos."
Quais alterações na estrutura e conectividade neur...,2.22,16.3,0.4,0.357,0.4,0.6,0.531,0.5,Alteraçes na estrutura e conectividade neural esto associadas à privaço sensorial em infantes.,"Alterações na estrutura e conectividade neuronal, incluindo distúrbios perceptivos, cognitivos e sociais crônicos."
Qual é a importância de estudar o enriquecimento a...,3.89,4.8,0.25,0.053,0.2,0.625,0.491,0.5,Estudar o enriquecimento ambiental e privaço sensorial na neurociência é fundamental para entender o impacto na sade cognitiva.,"É essencial para desenvolver terapias que melhorem a saúde e o bem-estar, abordando o impacto no cérebro e comportamento."
Quais alterações moleculares são associadas ao nat...,8.64,2.26,0.039,0.0,0.039,0.143,0.127,0.5,"Alteraçes moleculares como alteraçes nas protenas, alteraçes nas protenas, alteraçes nas protenas, alteraçes nas protenas, alteraçes nas protenas.","Senescência neuronal, exaustão de células-tronco neurais, aumento da apoptose, agregação de proteínas, disfunção mitocondrial, acumulação de danos no DNA."
Qual é a faixa percentual de prevalência do declín...,14.47,5.26,0.0,0.0,0.0,0.444,0.389,1.0,Prevalência de declnio cognitivo em indivduos com mais de 60 anos é 15%.,Entre 6.7% e 25.2%.
Qual é a taxa anual de evolução do declínio cognit...,1.83,24.46,0.718,0.541,0.667,0.636,0.587,0.0,O taxa anual de evoluço do declnio cognitivo indica a probabilidade de desenvolvimento da demência.,"A taxa anual de evolução do declínio cognitivo é aproximadamente 5-17%, indicando uma alta probabilidade de desenvolvimento da demência."
Quais biomarcadores são utilizados para identifica...,9.64,2.07,0.077,0.0,0.077,0.714,0.607,0.5,Os biomarcadores utilizados para identificar a possibilidade de progresso da demência so os códigos emocionais e os códigos emocionais emocionais.,"Proteínas beta-amiloides, genótipo APOE4, níveis anormais de proteína tau no líquido cefalorraquidiano e depósitos de proteína tau nos lobo lateral temporal."
Quais são os principais sintomas da demência que a...,3.25,1.53,0.0,0.0,0.0,0.778,0.681,0.5,"Os sintomas de demência afetam a vida diária de pessoas idosas, incluindo a deficiência em aprendizagem, aprendizagem em aprendizagem, aprendizagem em aprendizagem, aprendizagem em aprendizagem em aprendizagem.","Deterioração da função cognitiva, impacto nas atividades sociais, ocupacionais e domésticas."
Quais são os dois principais grupos de demências m...,2.64,18.8,0.533,0.31,0.467,0.667,0.533,0.5,Os dois principais grupos de demências so Alzheimer e Parkinson. Os exames neurológicos têm como objetivo aprender mais sobre os diagnósticos de demências.,Os dois principais grupos são demências neurodegenerativas (como a Doença de Alzheimer) e não degenerativas. Os exames neurológicos ajudam a avaliar demências e outros distúrbios.
Quais marcadores histológicos são associados com d...,10.75,1.55,0.0,0.0,0.0,0.8,0.622,0.5,"Os marcadores histológicos so associados com demências como Alzheimer, Parkinson, adolescência, enfermidade, enfermidade, enfermidade, enfermidade, enfermidade, enfermidade, enfermidade, enfermidade, enfermidade, enfermidade, enfermidade, enfermidade, enfermidade, enfermidade.","Acumulação de proteínas, placas neuríticas, infusão intraneuronal, beta-amiloide, TAU, TDP-45, alfa-sinucleína, microtúbulos, MAPT, FUS."
Qual é uma desordem neurotóxica mencionada no text...,15.16,0.44,0.0,0.0,0.0,0.4,0.367,0.5,Desordem neurotóxica é um desordem neurológico.,"Hipotireoidismo, Desnutrição severa, Uremia crônica, Vitamina B12, Tiamina, Hepatopatias, Poluentes, Paratireoides, Síndromes Metabólicas, Encefalopatia de Wernicke."
Quais são as duas estratégias utilizadas para gere...,3.57,7.81,0.133,0.0,0.133,0.125,0.118,0.5,Os estratégias so rehabilitaço e rehabilitaço.,Tratamentos sintomáticos e intervenções.
Quais fatores podem controlar a transição do MCI p...,2.59,2.84,0.069,0.0,0.069,0.167,0.155,0.5,"Fatores como neurónios, neurónios, neurónios, neurónios, neurónios, neurónios.",Identificar fatores controláveis pode ajudar na transição do MCI para a demência.
Qual artigo discute os efeitos da privação ambient...,3.49,11.52,0.611,0.529,0.611,0.5,0.458,0.5,Efeitos da privaço ambiental no cérebro e associaçes com transtornos psiquiátricos.,O artigo de Sahoo et al. (2022) aborda-effects cerebrais da privação ambiental e associações com transtornos psiquiátricos.
Quais são os aspectos-chave da atenção em termos d...,5.71,1.98,0.364,0.129,0.303,0.143,0.121,0.5,A atenço é a base para a adaptaço psicológica.,"A atenção envolve a focalização consciente em uma tarefa principal, selecionando estímulos específicos para processamento, ignorando outros irrelevantes."
Qual é a sub-divisão do processo de desenvolviment...,4.21,1.39,0.158,0.056,0.158,0.286,0.214,0.5,"O processo de desenvolvimento da atenço está envolvido em aprendizagem, aprendizagem visual, aprendizagem auditoria, aprendizagem emocional, aprendizagem emocional, aprendizagem emocional, aprendizagem emocional, aprendizagem emocional, aprendizagem emocional.","Atenção seletiva, sustentada, atenção dividida e atenção alternada."
Qual é o conceito relacionado à capacidade de alte...,2.68,3.5,0.296,0.24,0.296,0.4,0.367,0.5,Alterar atenço entre tarefas sem muita dificuldade.,A atenção alternada é a capacidade de alternar atenção entre tarefas que exigem diferentes níveis de foco.
Quais condições podem causar alterações em mais de...,6.13,4.46,0.0,0.0,0.0,0.0,0.0,0.5,"Alteraçes em domnios cognitivos, emoçes emocionales, emoçes emocionales emocionales.","Ansiedade, depressão, esquizofrenia, dislexia, TDAH."
Quais estruturas do cérebro foram identificadas co...,3.28,1.95,0.321,0.111,0.321,0.25,0.216,0.5,"O circuito atencional inclui o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal.","O tálamo, córtex parietal, córtex límbico, região frontal e córtex temporal."
Qual é o pico de sensibilidade à luz e em que part...,3.28,16.2,0.483,0.296,0.483,0.667,0.619,0.5,O pico de sensibilidade à luz é o pico de sensibilidade à luz em parte do espectro redutivo.,"O pico de sensibilidade é entre 450-480 nm, na porção azul do espectro."
Quais mecanismos biológicos estão relacionados ao ...,5.24,1.7,0.195,0.0,0.146,0.125,0.104,0.5,O envelhecimento afeta a atenço como a diminuiço da capacidade de atenço.,"Inflamação sistêmica, senescência celular, senescência imunológica, disfunções mitocondriais, propensão fibrótica, envelhecimento hormonal, alterações na composição corporal."
Qual condição neurológica está relacionada a uma p...,4.18,4.37,0.435,0.19,0.348,0.462,0.431,0.5,Deficit de memória e atenço leve com risco aumentado de doenças neurodegenerativas.,Envelhecimento com déficit de atenção leve.
Quais déficits cognitivos são comuns em indivíduos...,4.45,2.58,0.049,0.0,0.049,0.333,0.267,0.5,"Deficiências cognitivas, como déficits cognitivos envolvidos em aprendizagem, aprendizagem em aprendizagem, aprendizagem em aprendizagem, aprendizagem em aprendizagem.","TDAH afeta funções executivas, atenção seletiva, memória de trabalho, temporização e tomada de decisão baseada em recompensas."
Quais fatores estão associados à redução no volume...,6.13,1.48,0.118,0.0,0.118,0.615,0.543,0.5,A reduço na volume de matéria cinzenta do córtex cingulado anterior em adultos com TDAH é asociada a afetaço dos córtex cingulado anterior e a diminuiço do volume de córtex cingulado anterior.,"Fatores biológicos como baixo peso ao nascer, tabagismo, exposição a drogas e álcool prenatal, distúrbios psiquiátricos maternos, disfunção familiar e baixo nível socioeconômico."
"Quais sintomas descreve o termo ""hiperfoco"" em ind...",4.59,1.79,0.118,0.0,0.118,0.143,0.113,0.5,"O hiperfoco é caracterizado pelo apresentaço de apresentaçes emocionais, apresentaçes emocionais, apresentaçes emocionais, apresentaçes emocionais, apresentaçes emocionais, apresentaçes emocionais.",Hiperfoco na TDAH é intensa concentração em uma atividade.
Quais funções executivas são menos ativadas em ind...,5.36,3.11,0.0,0.0,0.0,0.571,0.508,0.5,Funçes executivas so menos ativadas em indivduos com dislexia.,Atividade da rede de atenção dorsal e das redes de atenção ventral.
Quais são as características clínicas da dislexia ...,4.14,2.44,0.05,0.0,0.05,0.4,0.3,0.5,"Dislexia em crianças é caracterizada pelo deficiência em entender palavras, em entender palavras, em entender palavras.","Deficits em percepção visual, processamento visual temporal, atenção, e possíveis condições oculares. Não todos apresentam prejuízos cognitivos."
Qual é a eficácia dos treinos de atenção visual em...,1.84,10.52,0.556,0.294,0.556,0.286,0.226,0.5,O treino de atenço visual é eficaz em melhorar a atenço visual em indivduos com dislexia.,Os treinos de atenção visual aumentam a velocidade e precisão da leitura em indivíduos com dislexia.
Quais são as funções temporais específicas da área...,5.85,5.89,0.564,0.432,0.564,0.6,0.531,0.5,As funçes temporais especficas do área ventral tegmental so controle de atenço e impulso.,Projeções temporais da Área Ventral Tegmental influenciam o controle de atenção e impulso no Núcleo Accumbens e Cortiço Prefrontal.
